id,wave,track,part,section,subsubject,domain,topic,item_archetype,cognitive_demand,difficulty,access,language,stimulus_id,stem,choice_A,choice_B,choice_C,choice_D,choice_E,correct_choice,rationale,solution_steps,high_yield_takeaway,estimated_time_seconds,calculator_policy,diagram_required,originality_check,accuracy_review,status
DOST-W1-001,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,developmental relationship,VR-ANA,Recognition/Recall,Easy,Free,English,,SEED : PLANT :: EGG : ____,nest,bird,shell,feather,,B,A seed develops into a plant; an egg develops into a bird.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-002,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,instrument-to-measurement,VR-ANA,Recognition/Recall,Easy,Free,English,,THERMOMETER : TEMPERATURE :: BAROMETER : ____,altitude,pressure,humidity,rainfall,,B,A thermometer measures temperature; a barometer measures pressure.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-003,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,whole-to-parts,VR-ANA,Recognition/Recall,Easy,Free,English,,MOSAIC : TILES :: SENTENCE : ____,letters,words,paragraphs,sounds,,B,A mosaic is composed of tiles; a sentence is composed of words.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-004,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,tool-to-user,VR-ANA,Recognition/Recall,Easy,Free,English,,GAVEL : JUDGE :: STETHOSCOPE : ____,nurse,doctor,patient,pharmacist,,B,A gavel is characteristically used by a judge; a stethoscope is characteristically used by a doctor.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-005,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,process-to-starting-state,VR-ANA,Recognition/Recall,Easy,Premium,English,,EVAPORATION : LIQUID :: SUBLIMATION : ____,gas,solid,plasma,solution,,B,Evaporation begins with a liquid; sublimation begins with a solid.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-006,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,instrument-to-information,VR-ANA,Recognition/Recall,Moderate,Premium,English,,COMPASS : DIRECTION :: CALENDAR : ____,distance,date,weather,season,,B,A compass identifies direction; a calendar identifies dates.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-007,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,protective covering,VR-ANA,Recognition/Recall,Moderate,Premium,English,,BARK : TREE :: SKIN : ____,muscle,body,bone,blood,,B,Bark is the outer covering of a tree; skin is the outer covering of a body.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-008,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,property-to-likely-result,VR-ANA,Recognition/Recall,Moderate,Premium,English,,FRAGILE : BREAK :: FLAMMABLE : ____,freeze,burn,bend,dissolve,,B,Something fragile can break easily; something flammable can burn easily.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-009,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,collective group,VR-ANA,Recognition/Recall,Moderate,Premium,English,,ARCHIPELAGO : ISLANDS :: CONSTELLATION : ____,planets,stars,clouds,orbits,,B,An archipelago is a group of islands; a constellation is a recognized group of stars.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-010,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,manner of action,VR-ANA,Recognition/Recall,Moderate,Premium,English,,WHISPER : SPEAK :: STROLL : ____,run,walk,rest,climb,,B,A whisper is a gentle way of speaking; a stroll is a leisurely way of walking.,,Identify the exact relationship in the first pair before applying it to the second.,40,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-011,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Free,English,,"In a code, each letter is replaced by the next letter of the alphabet. How is MATH written?",NBUJ,NBUI,LZSG,OCVK,,A,"M→N, A→B, T→U, and H→I, giving NBUJ.",,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-012,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Premium,English,,A code reverses the order of the letters and then changes every vowel to X. How is PLAN written?,NXL P,NXLP,PLXN,NAXP,,B,PLAN reversed is NALP. Replacing the vowel A with X gives NXLP.,,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-013,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Premium,English,,"If SCIENCE becomes UEKGPEG by moving every letter two places forward, how does MATH become coded?",OCVJ,OCUJ,NBUI,KZRF,,A,"Move each letter two places forward: M→O, A→C, T→V, H→J.",,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-014,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Premium,English,,"A word is coded by writing the last letter first, followed by the remaining letters in their original order. How is LOGIC coded?",CLOGI,CIGOL,OGLIC,CLOIG,,A,"Move the last letter C to the front, then retain LOGI.",,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-015,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Premium,English,,"In a code, consonants move one letter forward while vowels stay unchanged. How is DATA coded?",EAUA,EBUB,DBTB,EAVA,,A,"D→E, A stays A, T→U, and A stays A, giving EAUA.",,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-016,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter and string coding,VR-COD,Single-step Application,Moderate,Premium,English,,"If 1=A, 2=B, …, 26=Z, what word is represented by 19-20-5-13?",STEM,STEP,TEAM,SEAM,,A,"19=S, 20=T, 5=E, and 13=M, spelling STEM.",,Apply the stated rule consistently to every symbol or letter.,60,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-017,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Free,English,,All renewable resources can be naturally replenished. Solar energy is a renewable resource. Which conclusion must be true?,Solar energy can be naturally replenished.,All naturally replenished resources are solar energy.,Solar energy is the only renewable resource.,No renewable resource is limited.,,A,The two premises directly imply that solar energy belongs to the class of things that can be naturally replenished.,,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W1-018,1,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,valid conclusions,VR-LOG,Analysis/Evaluation,Difficult,Free,English,,No reptiles are warm-blooded. All snakes are reptiles. Which conclusion follows?,No snakes are warm-blooded.,Some reptiles are warm-blooded.,All warm-blooded animals are snakes.,Some snakes are mammals.,,A,"If all snakes are reptiles and no reptiles are warm-blooded, then no snakes are warm-blooded.",,Do not reverse a conditional statement unless the converse is explicitly supported.,75,No calculator,False,Passed,Passed,Approved for Distribution
