id,wave,track,part,section,subsubject,domain,topic,item_archetype,cognitive_demand,difficulty,access,language,stimulus_id,stem,choice_A,choice_B,choice_C,choice_D,correct_choice,rationale,solution_steps,high_yield_takeaway,estimated_time_seconds,calculator_policy,diagram_required,originality_check,accuracy_review,status
DOST-W4-001,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,instrument and measured quantity,VR-ANA,Recognition/Recall,Easy,Free,English,,Instrument Analogy 1: THERMOMETER : TEMPERATURE :: BAROMETER : ____,pressure,humidity,altitude,speed,A,A thermometer measures temperature; a barometer measures pressure.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-002,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,plan and resulting work,VR-ANA,Recognition/Recall,Easy,Free,English,,BLUEPRINT : BUILDING :: SCORE : ____,audience,symphony,stage,ticket,B,A blueprint guides construction of a building; a score guides performance of a symphony.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-003,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,early developmental form,VR-ANA,Recognition/Recall,Easy,Free,English,,Development Analogy: SEED : PLANT :: EGG : ____,nest,feather,bird,wing,C,A seed can develop into a plant; an egg can develop into a bird.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-004,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,barrier and excluded item,VR-ANA,Recognition/Recall,Easy,Free,English,,FILTER : IMPURITIES :: CHECKPOINT : ____,traffic lane,uniform,ticket booth,unauthorized access,D,A filter blocks impurities; a checkpoint blocks unauthorized access.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-005,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,collection and contents,VR-ANA,Recognition/Recall,Easy,Free,English,,ARCHIVE : RECORDS :: HERBARIUM : ____,preserved plants,live animals,minerals,weather maps,A,An archive stores records; a herbarium stores preserved plant specimens.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-006,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,reference tool and information,VR-ANA,Recognition/Recall,Easy,Free,English,,Reference Tool Analogy: COMPASS : DIRECTION :: CALENDAR : ____,distance,date,temperature,weight,B,A compass indicates direction; a calendar indicates date.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-007,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,cause and developed capacity,VR-ANA,Recognition/Recall,Easy,Premium,English,,Capacity Analogy: VACCINE : IMMUNITY :: PRACTICE : ____,fatigue,schedule,skill,equipment,C,A vaccine develops immunity; practice develops skill.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-008,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR1 — Analogies and Semantic Relationships,process and affected material,VR-ANA,Recognition/Recall,Easy,Premium,English,,Material Process Analogy: ERODE : ROCK :: CORRODE : ____,water,glass,air,metal,D,Erosion wears away rock; corrosion degrades metal.,,State the relationship in words before checking the choices.,45,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-009,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Free,English,,A code moves every letter two places backward in the alphabet. How is NOTE written?,LMRC,LMTC,PQVG,LNSC,A,"N→L, O→M, T→R, and E→C, so NOTE becomes LMRC.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-010,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Premium,English,,A code reverses a word and then moves the first resulting letter one place forward. How is PLANT coded?,TNALP,UNALP,TNBMQ,UNBMQ,B,PLANT reversed is TNALP; changing the first T to U gives UNALP.,,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-011,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Premium,English,,"Letters in odd positions remain unchanged, while letters in even positions move one place forward. How is CABLE coded?",CBCLF,DBBMF,CBBME,CABMF,C,"C stays C, A→B, B stays B, L→M, and E stays E, producing CBBME.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-012,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Premium,English,,"Using A=1, B=2, …, Z=26, what word is 19-15-12-1-18?",SONAR,POLAR,SOLID,SOLAR,D,"19=S, 15=O, 12=L, 1=A, and 18=R.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-013,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Premium,English,,A code places the last letter first and leaves the remaining letters in order. How is CLOUD written?,DCLOU,DCOUL,UCLOD,CLOUD,A,Moving the final D to the front gives DCLOU.,,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-014,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Easy,Premium,English,,"A code replaces each vowel with the next vowel in the cycle A→E→I→O→U→A, leaving consonants unchanged. How is TAPE coded?",TEPA,TEPI,TIPE,TUPO,B,"A→E and E→I, while T and P remain unchanged: TEPI.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-015,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Moderate,Premium,English,,A word's code value is the sum of the alphabet positions of its first two letters. What is the code value of DATA?,4,21,5,25,C,"D=4 and A=1, so the value is 5.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-016,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR2 — Coded Words and Transformations,letter transformation rules,VR-COD,Multi-step Application,Moderate,Premium,English,,A code swaps each adjacent pair of letters. How is MARKET written?,AMRKTE,MRAKET,AMKRET,AMKRTE,D,"MA→AM, RK→KR, and ET→TE, producing AMKRTE.",,Apply the rule in the stated order and track every letter.,65,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-017,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Free,English,,All solar-powered lamps require stored energy for nighttime use. Lamp K is solar-powered and works at night. Which statement must be true?,Lamp K has stored energy available.,Lamp K never receives sunlight.,All lamps are solar-powered.,Stored energy is unnecessary.,A,The stated class condition applies to Lamp K.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-018,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,No sample in Batch A exceeded the contamination limit. Sample R belongs to Batch A. What follows?,R contains no microorganisms.,R did not exceed the contamination limit.,All other batches are contaminated.,R was never tested.,B,Every member of Batch A satisfies the stated limit condition.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-019,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,"If the network link fails, the backup route activates. The backup route did not activate. What conclusion follows under the stated rule?",The network link was fast.,The router had no power.,The network link did not fail.,The backup route is unnecessary.,C,The contrapositive of the stated conditional is valid.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-020,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,All accredited laboratories keep calibration records. Laboratory X keeps calibration records. What can be concluded?,X is accredited.,X failed accreditation.,Only X keeps records.,X may or may not be accredited.,D,"Keeping records is necessary for accreditation, but the premise does not say it is sufficient.",,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-021,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,Some coastal communities use elevated storage tanks. All communities using elevated storage tanks in the survey had gravity-fed emergency water. What follows?,Some coastal communities had gravity-fed emergency water.,Every coastal community used elevated tanks.,Only coastal communities had emergency water.,No community used pumps.,A,The coastal communities with elevated tanks are within the group having gravity-fed emergency water.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-022,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,No biodegradable packaging in the trial contained conventional plastic film. Package M contained conventional plastic film. Which conclusion is valid?,M was made of glass.,M was not biodegradable packaging in the trial.,All plastic films are nonbiodegradable everywhere.,M was not part of any trial.,B,"Within the trial, the two categories do not overlap.",,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-023,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,Every team that reached the final submitted a technical report. Team Orion did not submit a technical report. What follows?,Team Orion won the final.,The final was cancelled.,Team Orion did not reach the final.,Every nonfinalist lacked a report.,C,"By contraposition, failure to meet the required condition rules out reaching the final.",,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-024,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,Some low-cost sensors were highly precise. No highly precise sensor in the study had unstable readings. Which conclusion follows?,Every low-cost sensor was precise.,Only expensive sensors were stable.,No sensor produced readings.,Some low-cost sensors did not have unstable readings.,D,The low-cost sensors that were highly precise belong to the stable group.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-025,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,All emergency exits are unobstructed. Door Q is obstructed. Which conclusion must be true?,Door Q is not an emergency exit under the stated conditions.,Door Q is locked.,All doors are obstructed.,Emergency exits are optional.,A,An obstructed door contradicts the defining condition of every emergency exit.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-026,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR3 — Syllogisms and Deductive Logic,conditional and categorical deduction,VR-LOG,Analysis/Evaluation,Moderate,Premium,English,,Some scholarship applicants are science-club officers. All science-club officers received leadership certificates. What follows?,Every applicant is a science-club officer.,Some scholarship applicants received leadership certificates.,Only officers received certificates.,No applicant lacked a certificate.,B,The applicants who are officers received certificates.,,Use only conclusions forced by the premises.,75,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-027,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Free,English,,Eli finished before Faye. Gio finished after Faye but before Hana. Who finished last?,Eli,Faye,Hana,Gio,C,"The order is Eli, Faye, Gio, Hana.",,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-028,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Box P is lighter than Q. R is heavier than P but lighter than S. Q is lighter than R. Which is heaviest?,P,Q,R,S,D,The order is S > R > Q > P.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-029,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,"Point B is east of Point A. Point C is north of B. Relative to A, C is:",northeast,northwest,southeast,southwest,A,Moving east and then north places C northeast of A.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-030,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Jessa arrives after Kara but before Lino. Mico arrives after Lino. Who arrives first?,Jessa,Kara,Lino,Mico,B,"The order is Kara, Jessa, Lino, Mico.",,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-031,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Liquid W boils at a lower temperature than X. Y boils higher than X but lower than Z. Which boils second highest?,W,X,Y,Z,C,The order is Z > Y > X > W.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-032,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Team A scored less than B but more than C. Team D scored more than B. Who placed third?,B,C,D,A,D,"The order is D, B, A, C.",,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-033,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Machine H completes a cycle faster than J. K is slower than H but faster than J. Which order is correct from fastest to slowest?,"H, K, J","K, H, J","H, J, K","J, K, H",A,K lies between H and J.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-034,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,"Point M is south of N. O is east of M. P is north of O by the same distance that M is south of N. Relative to N, P is:",west,east,north,south,B,"The vertical displacements cancel, leaving P east of N.",,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-035,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,File A is larger than B. C is smaller than A but larger than D. B is larger than C. Which is smallest?,A,B,D,C,C,The order is A > B > C > D.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-036,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR4 — Ordering and Comparative Logic,ranking and spatial ordering,VR-LOG,Multi-step Application,Moderate,Premium,English,,Device L consumes more power than M. N consumes less than O but more than L. Which consumes the most?,L,M,N,O,D,O > N > L > M.,,Convert every comparison into one chain or coordinate map.,70,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-037,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Free,English,,A clinic claims text reminders reduced missed appointments. Which evidence best supports the claim?,Matched patients receiving reminders missed fewer appointments than a comparable no-reminder group.,The messages used blue text.,The clinic bought new chairs.,Appointments occurred on weekdays.,A,A comparable control group directly tests the reminder effect.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-038,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A school claims a new reading program improved comprehension. Which design is strongest?,Ask only program volunteers whether they enjoyed it.,Randomly assign similar students to the program or usual instruction and compare gains.,Compare this year's class with a class from ten years ago without controls.,Measure reading speed before the program only.,B,Random assignment and before-after comparison best isolate the program.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W4-039,4,Undergraduate,Part I — Logical Reasoning,Verbal Reasoning,Verbal Reasoning,VR5 — Inference and Argument Analysis,"evidence, confounding, and assumptions",VR-LOG,Analysis/Evaluation,Difficult,Premium,English,,A report finds that households with solar panels have lower electricity bills. Which fact most weakens a causal claim?,Solar panels produce electricity.,Bills are measured in pesos.,Solar households may also use more efficient appliances and consume less electricity.,Homes have roofs.,C,Other household differences could confound the association.,,Prefer controlled comparisons and conclusions no broader than the evidence.,95,No calculator,False,Passed,Passed,Approved for Distribution
